x,deltaH,deltaS,deltaG_T0,deltaG_T1,deltaG_T2,deltaG_T3,deltaG_T4,deltaG_T5,deltaG_T6,deltaG_T7,deltaG_T8,deltaG_T9,deltaG_T10,deltaG_T11,deltaG_T12,deltaG_T13,deltaG_T14,deltaG_T15,deltaG_T16,deltaG_T17,deltaG_T18,deltaG_T19,deltaG_T20,deltaG_T21,deltaG_T22,deltaG_T23,deltaG_T24,deltaG_T25,deltaG_T26,deltaG_T27,deltaG_T28,deltaG_T29,deltaG_T30,deltaG_T31,deltaG_T32,d2deltaG_T0,d2deltaG_T1,d2deltaG_T2,d2deltaG_T3,d2deltaG_T4,d2deltaG_T5,d2deltaG_T6,d2deltaG_T7,d2deltaG_T8,d2deltaG_T9,d2deltaG_T10,d2deltaG_T11,d2deltaG_T12,d2deltaG_T13,d2deltaG_T14,d2deltaG_T15,d2deltaG_T16,d2deltaG_T17,d2deltaG_T18,d2deltaG_T19,d2deltaG_T20,d2deltaG_T21,d2deltaG_T22,d2deltaG_T23,d2deltaG_T24,d2deltaG_T25,d2deltaG_T26,d2deltaG_T27,d2deltaG_T28,d2deltaG_T29,d2deltaG_T30,d2deltaG_T31,d2deltaG_T32
0.0200400801603206,0.0101309269051381,4.230881328080642e-06,0.0088616625067139,0.0077743260053971,0.0066869895040804,0.0055996530027637,0.004512316501447,0.0034249800001302,0.0023376434988135,0.0012503069974968,0.0001629704961801,-0.0009243660051366,-0.0020117025064533,-0.00309903900777,-0.0041863755090867,-0.0052737120104035,-0.0063610485117202,-0.0067925984071844,-0.0074483850130369,-0.0085357215143536,-0.0096230580156704,-0.0107103945169871,-0.0110272875284603,-0.0117977310183038,-0.0128850675196205,-0.0139724040209373,-0.015059740522254,-0.0161470770235707,-0.0172344135248874,-0.0183217500262042,-0.0194090865275209,-0.0204964230288376,-0.0215837595301543,-0.0226710960314711,-0.023716123719507,1.1158357993467585,1.679689678228251,2.243543557109744,2.8073974359912373,3.37125131487273,3.935105193754223,4.498959072635715,5.062812951517208,5.626666830398701,6.190520709280194,6.754374588161687,7.31822846704318,7.882082345924672,8.445936224806164,9.009790103687658,9.23357646806864,9.573643982569152,10.137497861450644,10.701351740332138,11.26520561921363,11.429535018156134,11.829059498095123,12.392913376976615,12.956767255858107,13.5206211347396,14.084475013621097,14.648328892502589,15.21218277138408,15.776036650265572,16.339890529147066,16.903744408028558,17.46759828691005,18.00951232614635
0.0220440881763527,0.0111550651200656,4.562478332734062e-06,0.0097863216202453,0.0086137646887327,0.00744120775722,0.0062686508257074,0.0050960938941947,0.0039235369626821,0.0027509800311694,0.0015784230996568,0.0004058661681441,-0.0007666907633685,-0.0019392476948811,-0.0031118046263938,-0.0042843615579064,-0.0054569184894191,-0.0066294754209317,-0.0070948482108706,-0.0078020323524444,-0.008974589283957,-0.0101471462154697,-0.0113197031469823,-0.0116614327741041,-0.012492260078495,-0.0136648170100076,-0.0148373739415203,-0.016009930873033,-0.0171824878045456,-0.0183550447360583,-0.0195276016675709,-0.0207001585990836,-0.0218727155305962,-0.0230452724621089,-0.0242178293936215,-0.0253447615418069,1.0432019489424245,1.556846782722324,2.070491616502224,2.584136450282123,3.0977812840620227,3.611426117841922,4.125070951621822,4.638715785401722,5.152360619181621,5.666005452961521,6.1796502867414205,6.69329512052132,7.20693995430122,7.720584788081119,8.234229621861019,8.43808866094876,8.747874455640918,9.261519289420818,9.775164123200716,10.288808956980615,10.438505447447987,10.802453790760516,11.316098624540416,11.829743458320316,12.343388292100215,12.857033125880116,13.370677959660014,13.884322793439914,14.397967627219812,14.911612460999711,15.425257294779612,15.938902128559512,16.43256078203669
0.0240480961923847,0.0121809849332707,4.88603794302964e-06,0.0107151735503618,0.0094594617990031,0.0082037500476445,0.0069480382962859,0.0056923265449273,0.0044366147935687,0.0031809030422101,0.0019251912908514,0.0006694795394928,-0.0005862322118657,-0.0018419439632243,-0.0030976557145829,-0.0043533674659416,-0.0056090792173002,-0.0068647909686588,-0.0073631668388478,-0.0081205027200174,-0.009376214471376,-0.0106319262227346,-0.0118876379740933,-0.0122536022160262,-0.0131433497254519,-0.0143990614768105,-0.0156547732281691,-0.0169104849795277,-0.0181661967308863,-0.019421908482245,-0.0206776202336036,-0.0219333319849622,-0.0231890437363208,-0.0244447554876794,-0.025700467239038,-0.0269073186109664,0.980379565506008,1.4521874826399064,1.9239953997738044,2.3958033169077027,2.8676112340416005,3.339419151175499,3.811227068309397,4.283034985443295,4.754842902577193,5.226650819711091,5.698458736844989,6.170266653978888,6.6420745711127855,7.113882488246684,7.585690405380582,7.77294490945707,8.05749832251448,8.52930623964838,9.001114156782277,9.472922073916177,9.6104256264194,9.944729991050073,10.416537908183972,10.88834582531787,11.360153742451768,11.831961659585666,12.303769576719564,12.775577493853463,13.24738541098736,13.71919332812126,14.191001245255157,14.662809162389054,15.116258794809571
0.0260521042084168,0.0132086301782491,5.202216426389121e-06,0.0116479652503323,0.0103109956287503,0.0089740260071683,0.0076370563855863,0.0063000867640043,0.0049631171424223,0.0036261475208403,0.0022891778992583,0.0009522082776763,-0.0003847613439056,-0.0017217309654876,-0.0030587005870696,-0.0043956702086516,-0.0057326398302336,-0.0070696094518156,-0.0076002355273073,-0.0084065790733976,-0.0097435486949797,-0.0110805183165617,-0.0124174879381437,-0.0128071339484802,-0.0137544575597257,-0.0150914271813077,-0.0164283968028897,-0.0177653664244717,-0.0191023360460537,-0.0204393056676357,-0.0217762752892177,-0.0231132449107997,-0.0244502145323817,-0.0257871841539637,-0.0271241537755457,-0.0284091012328638,0.925113387815736,1.361524509647091,1.7979356314784458,2.2343467533098007,2.670757875141156,3.1071689969725105,3.5435801188038654,3.97999124063522,4.416402362466576,4.852813484297931,5.2892246061292845,5.72563572796064,6.162046849791995,6.598457971623351,7.034869093454704,7.208075063986993,7.471280215286059,7.907691337117415,8.34410245894877,8.780513580780125,8.907701102278834,9.21692470261148,9.653335824442834,10.08974694627419,10.526158068105545,10.962569189936898,11.398980311768254,11.835391433599607,12.271802555430964,12.708213677262318,13.144624799093672,13.581035920925029,14.000466065253217
0.0280561122244488,0.0142379448433325,5.511568701505994e-06,0.0125844742328807,0.0111680010765936,0.0097515279203066,0.0083350547640195,0.0069185816077325,0.0055021084514454,0.0040856352951584,0.0026691621388714,0.0012526889825843,-0.0001637841737026,-0.0015802573299897,-0.0029967304862767,-0.0044132036425637,-0.0058296767988508,-0.0072461499551378,-0.0078083299626914,-0.0086626231114249,-0.0100790962677119,-0.0114955694239989,-0.012912042580286,-0.0133248590760288,-0.014328515736573,-0.0157449888928601,-0.0171614620491471,-0.0185779352054341,-0.0199944083617212,-0.0214108815180082,-0.0228273546742953,-0.0242438278305823,-0.0256603009868693,-0.0270767741431564,-0.0284932472994434,-0.0298546047687154,0.8757925151999421,1.2818669581646698,1.6879414011293974,2.094015844094125,2.5000902870588524,2.90616473002358,3.312239172988308,3.718313615953035,4.124388058917763,4.530462501882491,4.9365369448472185,5.342611387811946,5.748685830776674,6.1547602737414016,6.560834716706129,6.722000448933375,6.966909159670856,7.372983602635585,7.779058045600312,8.185132488565038,8.303478697818184,8.591206931529767,8.997281374494493,9.403355817459222,9.80943026042395,10.215504703388676,10.621579146353405,11.027653589318133,11.43372803228286,11.839802475247588,12.245876918212316,12.651951361177042,13.042225242158707
0.0300601202404809,0.0152688730716891,5.814570139511652e-06,0.0135245020298356,0.0120301575039811,0.0105358129781266,0.0090414684522721,0.0075471239264176,0.0060527794005631,0.0045584348747086,0.0030640903488541,0.0015697458229996,7.540129714515148e-05,-0.0014189432287093,-0.0029132877545638,-0.0044076322804183,-0.0059019768062728,-0.0073963213321273,-0.0079894074863575,-0.0088906658579818,-0.0103850103838363,-0.0118793549096908,-0.0133736994355452,-0.0138092107389947,-0.0148680439613997,-0.0163623884872542,-0.0178567330131087,-0.0193510775389632,-0.0208454220648177,-0.0223397665906722,-0.0238341111165267,-0.0253284556423812,-0.0268228001682357,-0.0283171446940902,-0.0298114892199447,-0.0312476880444041,0.8312356206889724,1.2110214977868372,1.5908073748847025,1.9705932519825675,2.350379129080433,2.7301650061782974,3.109950883276163,3.4897367603740275,3.869522637471893,4.2493085145697576,4.629094391667623,5.008880268765488,5.388666145863353,5.768452022961218,6.148237900059083,6.298970038051232,6.528023777156948,6.907809654254813,7.287595531352678,7.667381408450543,7.77806608625066,8.047167285548408,8.426953162646273,8.806739039744137,9.186524916842002,9.566310793939868,9.946096671037733,10.325882548135596,10.705668425233462,11.085454302331328,11.465240179429191,11.845026056527058,12.210034273037458
0.032064128256513,0.0163013591613231,6.111632526192783e-06,0.0144678694034652,0.0128971798442337,0.0113264902850021,0.0097558007257706,0.008185111166539,0.0066144216073075,0.0050437320480759,0.0034730424888444,0.0019023529296129,0.0003316633703813,-0.0012390261888501,-0.0028097157480817,-0.0043804053073132,-0.0059510948665448,-0.0075217844257763,-0.008145170943448,-0.0090924739850079,-0.0106631635442394,-0.012233853103471,-0.0138045426627025,-0.0142623039389143,-0.015375232221934,-0.0169459217811656,-0.0185166113403971,-0.0200873008996287,-0.0216579904588602,-0.0232286800180918,-0.0247993695773233,-0.0263700591365549,-0.0279407486957864,-0.0295114382550179,-0.0310821278142495,-0.0325917010482191,0.7905567092351524,1.1473431310429294,1.5041295528507064,1.8609159746584831,2.2177023964662603,2.574488818274037,2.931275240081814,3.288061661889591,3.644848083697368,4.001634505505145,4.358420927312922,4.715207349120699,5.071993770928476,5.4287801927362525,5.785566614544029,5.927170564055287,6.142353036351807,6.499139458159584,6.85592587996736,7.212712301775137,7.316694025484874,7.569498723582914,7.9262851453906915,8.28307156719847,8.639857989006247,8.996644410814023,9.3534308326218,9.710217254429576,10.067003676237354,10.423790098045131,10.780576519852907,11.137362941660683,11.480266623320299
0.034068136272545,0.0173353475650749,6.4031160185709926e-06,0.0154144127595036,0.0137688119427308,0.0121232111259581,0.0104776103091853,0.0088320094924126,0.0071864086756398,0.0055408078588671,0.0038952070420943,0.0022496062253216,0.0006040054085488,-0.0010415954082238,-0.0026871962249965,-0.0043327970417693,-0.005978397858542,-0.0076239986753148,-0.008277116509209,-0.0092695994920875,-0.0109152003088603,-0.012560801125633,-0.0142064019424058,-0.0146859953321967,-0.0158520027591785,-0.0174976035759512,-0.019143204392724,-0.0207888052094967,-0.0224344060262695,-0.0240800068430422,-0.025725607659815,-0.0273712084765877,-0.0290168092933605,-0.0306624101101332,-0.032308010926906,-0.033889580583493,0.7530782553845468,1.0895739190079907,1.426069582631435,1.7625652462548789,2.0990609098783226,2.435556573501767,2.7720522371252105,3.108547900748655,3.4450435643721,3.781539227995543,4.118034891618987,4.454530555242431,4.791026218865875,5.12752188248932,5.464017546112763,5.597568354243469,5.800513209736208,6.137008873359651,6.473504536983096,6.810000200606539,6.908068392067223,7.146495864229983,7.482991527853428,7.819487191476871,8.155982855100316,8.49247851872376,8.828974182347203,9.165469845970648,9.501965509594092,9.838461173217537,10.17495683684098,10.511452500464424,10.834854947604466
0.0360721442885771,0.0183707828906212,6.689338278846729e-06,0.0163639814069671,0.0146448214693035,0.0129256615316399,0.0112065015939763,0.0094873416563127,0.0077681817186491,0.0060490217809855,0.0043298618433219,0.0026107019056583,0.0008915419679946,-0.0008276179696689,-0.0025467779073325,-0.0042659378449961,-0.0059850977826597,-0.0077042577203233,-0.0083865702247657,-0.0094234176579869,-0.0111425775956505,-0.0128617375333141,-0.0145808974709777,-0.0150819289080634,-0.0163000574086413,-0.018019217346305,-0.0197383772839686,-0.0214575372216322,-0.0231766971592958,-0.0248958570969594,-0.026615017034623,-0.0283341769722866,-0.0300533369099502,-0.0317724968476138,-0.0334916567852774,-0.0351439233401526,0.7182732950581574,1.0367354650432,1.3551976350282429,1.6736598050132858,1.9921219749983283,2.3105841449833715,2.629046314968414,2.947508484953457,3.2659706549385,3.5844328249235424,3.9028949949085847,4.221357164893628,4.539819334878671,4.858281504863713,5.1767436748487565,5.303137220912859,5.495205844833799,5.813668014818842,6.132130184803884,6.450592354788928,6.543404870477175,6.76905452477397,7.087516694759013,7.405978864744055,7.724441034729098,8.04290320471414,8.361365374699183,8.679827544684226,8.99828971466927,9.316751884654312,9.635214054639356,9.953676224624395,10.25974687048551
0.0380761523046092,0.0194076099004748,6.970581572631433e-06,0.0173164354286853,0.015524995964519,0.0137335565003528,0.0119421170361865,0.0101506775720202,0.0083592381078539,0.0065677986436877,0.0047763591795214,0.0029849197153551,0.0011934802511888,-0.0005979592129774,-0.0023893986771436,-0.0041808381413099,-0.0059722776054762,-0.0077637170696425,-0.0084747163900509,-0.0095551565338088,-0.011346595997975,-0.0131380354621413,-0.0149294749263076,-0.0154515714860977,-0.0167209143904739,-0.0185123538546401,-0.0203037933188064,-0.0220952327829727,-0.023886672247139,-0.0256781117113053,-0.0274695511754715,-0.0292609906396378,-0.0310524301038041,-0.0328438695679704,-0.0346353090321367,-0.0363570426805766,0.6857258041390766,0.9880553510393508,1.2903848979396249,1.592714444839899,1.895043991740173,2.197373538640448,2.4997030855407214,2.802032632440996,3.10436217934127,3.406691726241544,3.7090212731418175,4.011350820042092,4.313680366942366,4.616009913842641,4.9183394607429145,5.038330175855086,5.220669007643189,5.522998554543463,5.825328101443738,6.127657648344012,6.215768477382262,6.429987195244285,6.73231674214456,7.034646289044834,7.336975835945108,7.639305382845382,7.941634929745656,8.243964476645932,8.546294023546206,8.848623570446478,9.150953117346752,9.453282664247029,9.743848415548069
