ecutwfc_Ry,E_Ry,E_eV_per_atom,delta_meV_per_atom_vs_highest,job_done
50,-848.67152579,-1443.3455427652284,24.288560228114875,True
60,-848.6781275,-1443.3567703702718,13.060955184755585,True
70,-848.68272872,-1443.3645957186857,5.2356067708387855,True
80,-848.68480048,-1443.368119185034,1.712140422569064,True
90,-848.68555497,-1443.3694023549594,0.4289704970688035,True
100,-848.6858072,-1443.3698313254565,0.0,True
