T,xa,xb,spinodal_xa,spinodal_xb
300.0,0.0,1.0,0.10083673509458443,0.9972270977732294
410.0,0.0,1.0,0.10735167031877352,0.9963456919752177
520.0,0.0,1.0,0.11359427279275879,0.9955294654545898
630.0,0.0,1.0,0.11963524482740029,0.9945339090678649
740.0,0.0,1.0,0.12552536833415417,0.9936864151216943
850.0,0.0,1.0,0.13130315430680742,0.9926474232464932
960.0,0.002004008016032,1.0,0.13699929793196378,0.9917624911416374
1070.0,0.002004008016032,1.0,0.14263942434529944,0.9907006408299903
1180.0,0.0040080160320641,1.0,0.14824695715326086,0.9897731812059398
1290.0,0.0080160320641282,1.0,0.15384904955967862,0.9886972856287207
1400.0,0.0100200400801603,1.0,0.15945687987873944,0.9877234375431666
1510.0,0.0140280561122244,1.0,0.1650886506430305,0.9866381721496227
1620.0,0.0180360721442885,1.0,0.17076260557874487,0.9856148219679073
1730.0,0.0220440881763527,1.0,0.1764975007434585,0.9845230494279903
1840.0,0.0260521042084168,1.0,0.18231421737997822,0.9834475273599603
1950.0,0.032064128256513,1.0,0.1882337016424599,0.9823511975377046
2060.0,0.0380761523046092,1.0,0.19427503392858142,0.9812211048222785
2170.0,0.0440881763527054,1.0,0.20046428323213125,0.9801216618994855
2280.0,0.0501002004008016,1.0,0.20683443202948898,0.9789347705764905
2390.0,0.0561122244488977,1.0,0.2134145256675646,0.9778055527869619
2500.0,0.0621242484969939,1.0,0.22024065516573776,0.9765875514546024
2610.0,0.0701402805611222,1.0,0.2273779791528501,0.9753879162740364
2720.0,0.0781563126252505,1.0,0.23487684248450863,0.9741783603831754
2830.0,0.0861723446893787,0.9979959919839678,0.24283072737211014,0.9729076703205556
2940.0,0.094188376753507,0.9979959919839678,0.2513582690333625,0.9716630528598277
3050.0,0.1042084168336673,0.9979959919839678,0.2606149217017614,0.9703633891878211
3160.0,0.1142284569138276,0.9979959919839678,0.2708764056087781,0.9690388752268324
3270.0,0.1242484969939879,0.9979959919839678,0.28255951876465274,0.9677244095971789
3380.0,0.1362725450901803,0.9979959919839678,0.2965195468144505,0.9663487871420579
3490.0,0.1482965931863727,0.9959919839679358,0.3148881155488402,0.9649472826557534
3600.0,0.1623246492985972,0.9959919839679358,0.35131889031518776,0.9635422341981232
3710.0,0.1783567134268537,0.9959919839679358,0.6291729151719745,0.9621022534099549
3820.0,0.1983967935871743,0.9939879759519036,0.639184523216754,0.9606039267450419
3930.0,0.220440881763527,0.9939879759519036,0.6482784677765874,0.9590899513219264
4000.0,0.2384769539078156,0.9919839679358716,0.6537034949394568,0.9581268104693054
4040.0,0.2484969939879759,0.9919839679358716,0.6566935647797904,0.9575543498208284
4150.0,0.2865731462925851,0.9919839679358716,0.6645745583458295,0.9559825202217509
4260.0,0.3406813627254508,0.9899799599198396,0.672030647650117,0.9543426685545485
4370.0,0.3927855711422845,0.9879759519038076,0.6791427710971116,0.9526703047746798
4480.0,0.4348697394789579,0.9879759519038076,0.6859652498057868,0.9509598341112215
4500.0,0.4428857715430861,0.9879759519038076,0.6871814867742025,0.9506453901470242
4590.0,0.468937875751503,0.9859719438877754,0.692552415780575,0.9492056971400531
4700.0,0.4949899799599198,0.9839679358717434,0.6989438908764993,0.9474023335892459
4810.0,0.5190380761523046,0.9819639278557112,0.7051709770274119,0.9455441500052757
4920.0,0.5390781563126252,0.9819639278557112,0.7112614452372786,0.9436254905718888
5030.0,0.5571142284569138,0.9799599198396792,0.7172402699704421,0.9416406105109699
5100.0,0.567134268537074,0.9779559118236472,0.7209965831685914,0.9403339420182373
5140.0,0.5731462925851702,0.9779559118236472,0.7231302686787697,0.9395836516043227
5250.0,0.5911823647294588,0.9739478957915833,0.7289526801124292,0.9374486194633368
5360.0,0.6052104208416833,0.9719438877755512,0.7347277128134838,0.935229362244988
5470.0,0.6192384769539078,0.969939879759519,0.740475096175217,0.9329195505712379
5580.0,0.6332665330661322,0.9679358717434868,0.7462146712864265,0.9305126584575574
5690.0,0.6472945891783567,0.9639278557114228,0.751967068903015,0.9280019450972128
5800.0,0.6613226452905812,0.9599198396793588,0.757754540058194,0.9253363934187809
5910.0,0.6753507014028055,0.9579158316633266,0.7636020361484527,0.9225292638597674
6020.0,0.6873747494989979,0.9539078156312624,0.7695386873008407,0.9195629887774305
6130.0,0.7014028056112224,0.9498997995991983,0.7755999391669754,0.9163769944907085
6240.0,0.7134268537074148,0.943887775551102,0.7818307231557484,0.9129519717909137
6350.0,0.7274549098196392,0.939879759519038,0.7882904747021061,0.9092373755199293
6460.0,0.7414829659318637,0.9338677354709418,0.7950613144082505,0.9051419697290848
6570.0,0.7555110220440882,0.9278557114228456,0.8022666193547597,0.9005513645231694
6680.0,0.7715430861723446,0.9198396793587174,0.8101079317818165,0.8952721141124761
6790.0,0.7875751503006011,0.909819639278557,0.8189698889830251,0.8889082955498401
6900.0,0.8076152304609218,0.8957915831663326,0.8297819877002938,0.880540744626696
7010.0,0.8416833667334669,0.8717434869739479,0.8476283227782468,0.8650693196249934
7120.0,,,,
7230.0,,,,
7340.0,,,,
7450.0,,,,
7560.0,,,,
7670.0,,,,
7780.0,,,,
7890.0,,,,
8000.0,,,,
