T,xa,xb,spinodal_xa,spinodal_xb
300,[np.float64(0.2344689378757515)],[np.float64(0.9038076152304608)],[np.float64(0.3847695390781562)],[np.float64(0.7935871743486973)]
400,[np.float64(0.2344689378757515)],[np.float64(0.9038076152304608)],[np.float64(0.3847695390781562)],[np.float64(0.7935871743486973)]
500,[np.float64(0.2344689378757515)],[np.float64(0.9038076152304608)],[np.float64(0.3847695390781562)],[np.float64(0.7935871743486973)]
6060,[np.float64(0.2344689378757515)],[np.float64(0.9038076152304608)],[np.float64(0.3847695390781562)],[np.float64(0.7935871743486973)]
8000,[np.float64(0.2344689378757515)],[np.float64(0.9038076152304608)],[np.float64(0.3847695390781562)],[np.float64(0.7935871743486973)]
10000,[np.float64(0.2344689378757515)],[np.float64(0.9038076152304608)],[np.float64(0.3847695390781562)],[np.float64(0.7935871743486973)]
