x,deltaH,deltaS,deltaG_T0,deltaG_T1,deltaG_T2,deltaG_T3,deltaG_T4,deltaG_T5,deltaG_T6,deltaG_T7,deltaG_T8,deltaG_T9,deltaG_T10,deltaG_T11,deltaG_T12,deltaG_T13,deltaG_T14,deltaG_T15,deltaG_T16,deltaG_T17,deltaG_T18,deltaG_T19,deltaG_T20,deltaG_T21,deltaG_T22,deltaG_T23,deltaG_T24,deltaG_T25,deltaG_T26,deltaG_T27,deltaG_T28,deltaG_T29,deltaG_T30,deltaG_T31,deltaG_T32,d2deltaG_T0,d2deltaG_T1,d2deltaG_T2,d2deltaG_T3,d2deltaG_T4,d2deltaG_T5,d2deltaG_T6,d2deltaG_T7,d2deltaG_T8,d2deltaG_T9,d2deltaG_T10,d2deltaG_T11,d2deltaG_T12,d2deltaG_T13,d2deltaG_T14,d2deltaG_T15,d2deltaG_T16,d2deltaG_T17,d2deltaG_T18,d2deltaG_T19,d2deltaG_T20,d2deltaG_T21,d2deltaG_T22,d2deltaG_T23,d2deltaG_T24,d2deltaG_T25,d2deltaG_T26,d2deltaG_T27,d2deltaG_T28,d2deltaG_T29,d2deltaG_T30,d2deltaG_T31,d2deltaG_T32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002004008016032,0.0005437408041677,6.226908834276513e-07,0.0003569335391394,0.0001969019820984,3.687042505759182e-05,-0.0001231611319833,-0.0002831926890242,-0.0004432242460651,-0.000603255803106,-0.0007632873601469,-0.0009233189171878,-0.0010833504742287,-0.0012433820312696,-0.0014034135883105,-0.0015634451453514,-0.0017234767023923,-0.0018835082594332,-0.0019470227295429,-0.0020435398164741,-0.002203571373515,-0.002363602930556,-0.0025236344875969,-0.0025702740347656,-0.0026836660446378,-0.0028436976016787,-0.0030037291587196,-0.0031637607157605,-0.0033237922728014,-0.0034838238298423,-0.0036438553868832,-0.0038038869439241,-0.003963918500965,-0.0041239500580059,-0.0042839816150468,-0.0044377862632535,7.230211369284168,12.76684885468678,18.30348634008939,23.840123825492,29.37676131089461,34.91339879629722,40.45003628169984,45.986673767102445,51.52331125250506,57.05994873790767,62.59658622331028,68.13322370871288,73.6698611941155,79.2064986795181,84.74313616492071,86.9405564898665,90.27977365032332,95.81641113572591,101.35304862112856,106.88968610653116,108.50328201180996,112.42632359193377,117.96296107733636,123.49959856273898,129.0362360481416,134.57287353354425,140.10951101894685,145.64614850434944,151.18278598975206,156.71942347515466,162.25606096055728,167.7926984459599,173.11390256617173
0.0040080160320641,0.0010905628476476,1.1255078367454008e-06,0.0007529104966239,0.0004636549825804,0.0001743994685368,-0.0001148560455067,-0.0004041115595502,-0.0006933670735938,-0.0009826225876374,-0.0012718781016809,-0.0015611336157245,-0.0018503891297681,-0.0021396446438117,-0.0024289001578552,-0.0027181556718988,-0.0030074111859424,-0.0032966666999859,-0.003411468499334,-0.0035859222140295,-0.0038751777280731,-0.0041644332421166,-0.0044536887561602,-0.0045379892931324,-0.0047429442702038,-0.0050321997842473,-0.0053214552982909,-0.0056107108123345,-0.005899966326378,-0.0061892218404216,-0.0064784773544652,-0.0067677328685087,-0.0070569883825523,-0.0073462438965959,-0.0076354994106394,-0.0079134998463156,3.981107108496434,6.754995909030137,9.52888470956384,12.30277351009754,15.076662310631242,17.850551111164947,20.624439911698648,23.398328712232352,26.172217512766053,28.946106313299754,31.71999511383346,34.49388391436716,37.26777271490087,40.04166151543456,42.81555031596827,43.916471162872696,45.58943911650197,48.36332791703567,51.13721671756937,53.91110551810308,54.71952680666328,56.684994318636775,59.45888311917048,62.23277191970418,65.00666072023789,67.78054952077159,70.55443832130528,73.328327121839,76.1022159223727,78.87610472290639,81.6499935234401,84.4238823239738,87.08983770814433
0.0060120240480961,0.0016403693199863,1.582970833422348e-06,0.0011654780699595,0.00075865456577,0.0003518310615805,-5.499244260903473e-05,-0.0004618159467985,-0.0008686394509881,-0.0012754629551776,-0.0016822864593672,-0.0020891099635567,-0.0024959334677462,-0.0029027569719358,-0.0033095804761253,-0.0037164039803149,-0.0041232274845044,-0.004530050988694,-0.004691514013703,-0.0049368744928835,-0.005343697997073,-0.0057505215012626,-0.0061573450054521,-0.0062759095208755,-0.0065641685096417,-0.0069709920138312,-0.0073778155180208,-0.0077846390222103,-0.0081914625263999,-0.0085982860305894,-0.0090051095347789,-0.0094119330389685,-0.009818756543158,-0.0102255800473476,-0.0106324035515371,-0.0110233973473924,2.8822731347646338,4.735260680282444,6.588248225800253,8.441235771318063,10.294223316835872,12.147210862353685,14.000198407871492,15.853185953389302,17.70617349890711,19.55916104442492,21.412148589942728,23.265136135460537,25.11812368097835,26.97111122649616,28.82409877201397,29.55952573560469,30.67708631753177,32.53007386304959,34.3830614085674,36.23604895408521,36.77608306754546,38.08903649960302,39.94202404512083,41.79501159063864,43.64799913615645,45.500986681674256,47.35397422719207,49.206961772709874,51.05994931822769,52.91293686374549,54.765924409263306,56.61891195478112,58.399798817593954
0.0080160320641282,0.0021930644301318,2.0109196463314232e-06,0.0015897885362323,0.0010729821871251,0.000556175838018,3.936948891084587e-05,-0.0004774368601963,-0.0009942432093035,-0.0015110495584106,-0.0020278559075178,-0.002544662256625,-0.0030614686057322,-0.0035782749548393,-0.0040950813039465,-0.0046118876530537,-0.0051286940021609,-0.005645500351268,-0.0058506141551938,-0.0061623067003752,-0.0066791130494824,-0.0071959193985896,-0.0077127257476967,-0.007863343629207,-0.0082295320968039,-0.0087463384459111,-0.0092631447950183,-0.0097799511441254,-0.0102967574932326,-0.0108135638423398,-0.011330370191447,-0.0118471765405541,-0.0123639828896613,-0.0128807892387685,-0.0133975955878757,-0.0138942927405195,2.3211959413092784,3.713744157334784,5.106292373360288,6.498840589385795,7.8913888054112995,9.283937021436806,10.67648523746231,12.069033453487815,13.461581669513322,14.854129885538828,16.24667810156433,17.639226317589838,19.031774533615344,20.424322749640847,21.81687096566636,22.369555471637565,23.20941918169186,24.601967397717363,25.99451561374287,27.387063829768376,27.792907648368804,28.77961204579388,30.172160261819386,31.56470847784489,32.95725669387039,34.349804909895894,35.742353125921404,37.13490134194691,38.52744955797241,39.91999777399792,41.31254599002342,42.70509420604893,44.04345766658706
0.0100200400801603,0.0027485534014339,2.416876924635352e-06,0.0020234903240432,0.001402352954412,0.0007812155847807,0.0001600782151494,-0.0004610591544818,-0.0010821965241131,-0.0017033338937444,-0.0023244712633757,-0.0029456086330069,-0.0035667460026382,-0.0041878833722695,-0.0048090207419008,-0.0054301581115321,-0.0060512954811634,-0.0066724328507947,-0.0069189542971075,-0.0072935702204259,-0.0079147075900572,-0.0085358449596885,-0.0091569823293198,-0.009338006410975,-0.0097781196989511,-0.0103992570685824,-0.0110203944382137,-0.0116415318078449,-0.0122626691774762,-0.0128838065471075,-0.0135049439167388,-0.0141260812863701,-0.0147472186560014,-0.0153683560256326,-0.0159894933952639,-0.0165864619956489,1.975371831356036,3.0916655429878173,4.207959254619599,5.324252966251381,6.440546677883162,7.556840389514944,8.673134101146724,9.789427812778506,10.905721524410287,12.02201523604207,13.13830894767385,14.254602659305633,15.370896370937414,16.487190082569196,17.60348379420098,18.04652643461515,18.71977750583276,19.836071217464543,20.952364929096323,22.068658640728103,22.39399093256165,23.18495235235989,24.301246063991663,25.41753977562345,26.53383348725523,27.650127198887013,28.7664209105188,29.882714622150576,30.99900833378236,32.11530204541414,33.23159575704592,34.3478894686777,35.4207476273277
0.0120240480961923,0.0033067424666447,2.8052732655821407e-06,0.00246516048697,0.0017442052577154,0.0010232500284608,0.0003022947992062,-0.0004186604300483,-0.0011396156593029,-0.0018605708885576,-0.0025815261178122,-0.0033024813470668,-0.0040234365763214,-0.004744391805576,-0.0054653470348306,-0.0061863022640852,-0.0069072574933398,-0.0076282127225944,-0.0079143505956838,-0.008349167951849,-0.0090701231811037,-0.0097910784103583,-0.0105120336396129,-0.010722148607205,-0.0112329888688675,-0.0119539440981221,-0.0126748993273767,-0.0133958545566313,-0.0141168097858859,-0.0148377650151405,-0.0155587202443951,-0.0162796754736498,-0.0170006307029044,-0.017721585932159,-0.0184425411614136,-0.0191354436580124,1.7372987431357825,2.669430409035208,3.601562074934633,4.5336937408340585,5.465825406733485,6.39795707263291,7.330088738532336,8.262220404431762,9.194352070331188,10.126483736230613,11.058615402130036,11.990747068029464,12.92287873392889,13.855010399828313,14.78714206572774,15.157093154917394,15.719273731627164,16.65140539752659,17.583537063426014,18.51566872932544,18.78732889187745,19.447800395224867,20.379932061124293,21.31206372702372,22.244195392923142,23.17632705882257,24.108458724721995,25.04059039062142,25.972722056520844,26.90485372242027,27.836985388319697,28.769117054219123,29.66497900549211
0.0140280561122244,0.0038675388629185,3.179036138207724e-06,0.0029138280214561,0.0020968157339367,0.0012798034464174,0.000462791158898,-0.0003542211286213,-0.0011712334161407,-0.0019882457036601,-0.0028052579911795,-0.0036222702786988,-0.0044392825662182,-0.0052562948537376,-0.006073307141257,-0.0068903194287764,-0.0077073317162958,-0.0085243440038152,-0.0088486056899123,-0.0093413562913345,-0.0101583685788539,-0.0109753808663733,-0.0117923931538927,-0.0120305029606445,-0.0126094054414121,-0.0134264177289315,-0.0142434300164509,-0.0150604423039702,-0.0158774545914896,-0.016694466879009,-0.0175114791665284,-0.0183284914540478,-0.0191455037415672,-0.0199625160290865,-0.0207795283166059,-0.0215647502427432,1.5609036534560854,2.3614975755613408,3.1620914976665966,3.962685419771853,4.763279341877108,5.563873263982363,6.364467186087619,7.165061108192875,7.96565503029813,8.766248952403387,9.56684287450864,10.367436796613898,11.168030718719152,11.968624640824409,12.769218562929666,13.086964010613464,13.56981248503492,14.370406407140177,15.17100032924543,15.971594251350687,16.204919094796924,16.77218817345594,17.572782095561198,18.37337601766645,19.17396993977171,19.974563861876963,20.77515778398222,21.57575170608748,22.37634562819273,23.176939550297988,23.97753347240324,24.7781273945085,25.54756980213495
0.0160320641282565,0.0044308508268128,3.5402461101608475e-06,0.0033687769937645,0.0024589337434532,0.0015490904931418,0.0006392472428305,-0.0002705960074808,-0.0011804392577921,-0.0020902825081034,-0.0030001257584148,-0.0039099690087261,-0.0048198122590374,-0.0057296555093488,-0.0066394987596601,-0.0075493420099715,-0.0084591852602828,-0.0093690285105941,-0.0097301336138305,-0.0102788717609055,-0.0111887150112168,-0.0120985582615281,-0.0130084015118395,-0.0132735659454905,-0.0139182447621508,-0.0148280880124622,-0.0157379312627735,-0.0166477745130848,-0.0175576177633962,-0.0184674610137075,-0.0193773042640189,-0.0202871475143302,-0.0211969907646415,-0.0221068340149529,-0.0230166772652642,-0.0238911180544739,1.423149428594113,2.1250958307658294,2.8270422329375453,3.528988635109261,4.230935037280977,4.932881439452694,5.63482784162441,6.336774243796126,7.0387206459678415,7.740667048139557,8.442613450311274,9.144559852482988,9.846506254654706,10.54845265682642,11.250399058998138,11.528992572700531,11.952345461169855,12.65429186334157,13.356238265513287,14.058184667685,14.262759708629208,14.76013106985672,15.462077472028431,16.16402387420015,16.865970276371865,17.567916678543583,18.269863080715297,18.97180948288701,19.67375588505873,20.37570228723045,21.07764868940216,21.77959509157388,22.454228404166926
0.0180360721442885,0.0049965875892879,3.8904587292872085e-06,0.0038294499705017,0.0028296020770749,0.0018297541836481,0.0008299062902212,-0.0001699416032055,-0.0011697894966323,-0.0021696373900591,-0.0031694852834859,-0.0041693331769127,-0.0051691810703395,-0.0061690289637663,-0.0071688768571932,-0.00816872475062,-0.0091685726440468,-0.0101684205374736,-0.0105652473278609,-0.0111682684309004,-0.0121681163243272,-0.013167964217754,-0.0141678121111808,-0.0144592074700044,-0.0151676600046077,-0.0161675078980345,-0.0171673557914613,-0.0181672036848881,-0.0191670515783149,-0.0201668994717417,-0.0211667473651685,-0.0221665952585953,-0.0231664431520222,-0.024166291045449,-0.0251661389388758,-0.0261270822450097,1.3112371079276417,1.9364628375717463,2.5616885672158505,3.186914296859955,3.8121400265040593,4.437365756148164,5.062591485792268,5.687817215436373,6.313042945080476,6.938268674724581,7.563494404368686,8.18872013401279,8.813945863656894,9.439171593300998,10.0643973229451,10.312541386850544,10.689623052589209,11.314848782233312,11.940074511877416,12.56530024152152,12.747515833546204,13.190525971165624,13.81575170080973,14.440977430453836,15.066203160097938,15.691428889742042,16.316654619386146,16.941880349030253,17.567106078674357,18.19233180831846,18.817557537962564,19.442783267606668,20.04368114784828
