x,E_per_atom_Ry,Hmix_Ry_per_atom,Hmix_eV_per_atom
0.125,-97.06520887359375,0.0030275470312517427,0.04119187545027262
0.25,-88.046797904375,0.004739928125005122,0.06449000691088531
0.375,-79.027844551875,0.006994692499986854,0.09516763878422364
0.5,-70.01039367234375,0.007746983906244509,0.10540308470430358
0.625,-60.99336299984375,0.00807906828125482,0.10992132276079074
0.75,-51.97750659890625,0.007236881093746206,0.0984627824390151
0.875,-42.96252561484375,0.005519277031247327,0.07509358886910254
