ecutwfc_Ry,E_Ry,E_eV_per_atom,delta_meV_per_atom_vs_highest,job_done
50,-271.61000753,-461.9303014484087,5.567908818022715,True
60,-271.61089337,-461.9318080068082,4.0613504185671445,True
70,-271.61243514,-461.934430112994,1.4392442327562094,True
80,-271.61315156,-461.9356485368274,0.22082039936321962,True
90,-271.61326226,-461.93583680560596,0.03255162079085494,True
100,-271.6132814,-461.93586935722675,0.0,True
